No,Lat,Long
1,38.4724,27.0704
2,38.4724,27.0759
3,38.4698,27.0699
4,38.4680,27.0865
5,38.4665,27.0885
6,38.4955,27.0988
7,38.4830,27.0970
8,38.4820,27.1088
9,38.4733,27.1064
10,38.4728,37.1023
11,38.4679,27.0956
12,38.4623,27.0982
13,38.4552,27.0969
14,38.4614,27.1085
15,38.4509,27.1107
16,38.4674,27.1216
17,38.1495,27.1154
18,38.4610,27.1165
19,38.4583,27.1234
20,38.4682,27.1114
21,38.4591,27.0893
22,38.4570,27.1059
23,38.4693,27.0783
24,38.4688,27.0713
25,38.4749,27.0805
26,38.4804,27.0759
27,38.4820,27.0812
28,38.4757,27.0749
29,38.4789,27.0818
30,38.4749,27.0822
31,38.4889,27.0942
32,38.4873,27.1013
