No,Lat,Long
1,38.3407,27.1427
2,38.3390,27.1441
3,38.3370,27.1044
4,38.3262,27.1268
5,38.3296,27.1318
6,38.3290,27.1385
7,38.3221,27.1391
8,38.3189,27.1338
9,38.3155,27.1350
10,38.3157,27.1389
11,38.3062,27.1392
12,38.3054,27.1399
13,38.3081,27.1411
14,38.3416,27.1428
15,38.3246,27.1371
16,38.2958,27.1864
17,38.3069,27.1777
18,38.2937,27.1670
19,38.2930,27.1746
20,38.3127,27.1310
21,38.3139,27.1299
22,38.3174,27.1345
23,38.3204,27.1325
24,38.3170,27.1339
25,38.3181,27.1359
26,38.3287,27.1309
27,38.3185,27.1308
28,38.2912,27.1762
29,38.2975,27.1750
30,38.2975,27.1766
31,38.2964,27.1639
32,38.3119,27.1319
33,38.3211,27.1455
34,38.3076,27.1372
35,38.3155,27.1366
36,38.3565,27.1275
37,38.3049,27.1375
