No,Lat,Long
1,38.3960,27.1929
2,38.3878,27.1513
3,38.3849,27.1548
4,38.3852,27.1659
5,38.3882,27.1668
6,38.3825,27.1734
7,38.3821,27.1767
8,38.3752,27.1962
9,38.3919,27.1512
10,38.3836,27.1707
11,38.3880,27.1570
12,38.3867,27.1819
13,38.3858,27.1451
14,38.3770,27.1774
15,38.4010,27.1591
16,38.3704,27.1908
17,38.3940,27.1536
18,38.3683,27.1853
19,38.3961,27.1742
20,38.3846,27.1763
21,38.3953,27.1739
22,38.4027,27.1499
23,38.3818,27.1853
24,38.3878,27.1435
25,38.3861,27.1747
26,38.4030,27.1539
27,38.3696,27.2009
28,38.3726,27.1993
