No,Lat,Long
1,38.3654,27.1068
2,38.3923,27.0913
3,38.3920,27.0771
4,38.3922,27.0934
5,38.3937,27.0982
6,38.3885,27.0755
7,38.4029,27.1172
8,38.4000,27.1048
9,38.3899,27.1157
10,38.3839,27.1003
11,38.3962,27.1214
12,38.3702,27.1091
13,38.3712,27.1080
14,38.3725,27.1336
15,38.3992,27.1119
16,38.3791,27.1275
17,38.3895,27.0871
18,38.3904,27.0981
19,38.3870,27.1066
20,38.3971,27.0956
21,38.3722,27.1237
22,38.3900,27.1120
23,38.3817,27.1124
24,38.3720,27.1318
25,38.3815,27.1301
26,38.3923,27.1185
27,38.3830,27.1157
28,38.3594,27.1250
29,38.3600,27.1228
30,38.3871,27.0759
31,38.3628,27.0964
32,38.3962,27.0641
33,38.3770,27.1094
34,38.4002,27.1177
35,38.3896,27.1003
36,38.3567,27.0931
